0,5,81,-35
0,5,97.9,-21
0,41,106.6,0
0,280,88.6,16
0,16,63.6,-9
0,45,84.7,76
0,359,99.2,30
0,45,83.4,81
0,132,76.7,65
0,352,95.1,35
0,28,92.6,-4
0,301,89.7,35
0,6,63.1,-20
0,10,102.7,-12
0,17,87.6,-7
0,4,88.4,-27
0,5,100.8,-21
0,295,88.3,34
0,170,91.6,56
0,301,84.7,22
0,365,106.3,24
0,15,74.8,-4
0,320,102,19
0,8,86.8,-14
0,252,83.8,45
0,195,86.2,62
0,327,96.9,31
0,300,87,25
0,257,101.7,55
0,301,97,18
0,375,99.2,32
0,346,98.1,36
0,244,78.7,44
0,52,104.5,1
0,328,109.1,18
0,5,77.6,-22
0,5,97.1,-12
0,254,80.9,46
0,18,76.4,-4
0,225,86.1,56
0,273,97.7,51
0,1,85.2,-59
0,14,17.1,69
0,9,91.9,-20
0,8,67.4,-14
0,328,92.5,42
0,316,94.3,32
0,2,79.3,-37
0,57,73.6,4
0,11,99.8,-8
0,91,100,4
0,53,108,0
0,11,71.3,-8
0,239,83.7,51
0,2,46.8,-49
0,57,99,1
0,371,104.2,20
0,6,69.5,-25
0,315,93.7,23
0,197,88.7,60
0,9,71.2,-11
0,230,79.2,47
0,284,80,29
0,280,77.5,31
0,372,98.7,37
0,324,90.4,35
0,383,99.1,36
0,23,103.8,-3
0,3,104.5,-34
0,336,89,27
0,139,81.6,64
0,118,94.8,67
0,13,105,-10
0,104,103.5,5
0,42,75.5,1
0,325,100.3,42
0,126,103.9,6
0,12,92.2,-9
0,22,81.8,-5
0,341,101.8,39
0,342,99.1,24
0,10,100.2,-12
0,8,103.1,-12
0,317,90.2,24
0,264,79.7,33
0,150,75.8,14
0,279,88.7,37
0,293,95.6,44
0,8,91.4,-12
0,154,105.6,9
0,315,93.5,22
0,8,95.5,-9
0,313,101.3,19
0,8,77.4,-10
0,185,90.1,10
0,341,98.8,22
0,199,60.8,39
0,3,88,-31
0,2,74.5,-44
0,272,86.9,43
0,4,42,-23
0,325,98.7,39
0,131,88,7
0,78,66.2,73
0,352,98.3,37
0,4,79.1,-30
0,316,82.8,30
0,294,83.2,30
0,240,81.1,50
0,354,92.6,33
0,264,87.9,47
0,136,78.9,12
0,273,93.9,47
0,353,98,22
0,3,80.2,-48
0,139,99.9,8
0,121,101.2,6
0,52,86,3
0,219,94.6,58
0,359,107.9,43
0,4,85.5,-33
0,347,99.4,22
0,282,99.1,16
0,349,96.5,27
0,310,86.3,30
0,7,93.5,-21
0,54,69.1,89
0,2,78.6,-48
0,13,97.8,-11
0,13,85.7,-12
0,19,91.8,-7
0,355,106.8,14
0,15,97.3,-8
0,271,82,31
0,5,77.3,-25
0,198,83.7,55
0,8,80.3,-17
0,330,98.2,29
0,3,85.2,-49
0,71,80.8,6
0,71,74.1,4
0,375,100.2,33
0,7,75.4,-19
0,91,102.5,5
0,325,108.2,19
0,205,77.4,55
0,14,97.9,-9
0,47,96.3,-1
0,17,106.4,-6
0,373,100.7,19
0,16,93.7,-11
0,311,103.1,43
0,66,95.7,2
0,44,80.2,78
0,18,93.8,-7
0,202,82,52
0,308,92.7,19
0,280,88.5,42
0,15,97.6,-8
0,14,108.4,-7
0,11,91.5,-15
0,235,75.7,48
0,287,83.6,38
0,154,71.8,60
0,318,86.9,38
0,133,84.2,71
0,78,61.3,9
0,135,68,14
0,357,105.1,21
0,2,87,-27
0,99,100.4,4
0,56,84.9,78
0,39,90,-1
0,295,95.3,48
0,68,76.9,5
0,297,94.4,44
0,314,96,18
0,336,89.6,23
0,309,85.2,24
0,9,100.6,-13
0,105,74.7,9
0,3,90.4,-36
0,11,92.7,-13
0,168,93,11
0,46,101.8,-1
0,4,85.2,-26
0,41,96.3,-2
0,316,90.3,22
0,4,62.1,-24
0,356,95.6,36
0,3,65,-30
0,9,76.3,-13
